country.name,country.code,region.name,region.code,year,month,indicator.name,indicator.code,value
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Area,adm1.area,34465.83082152877
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Population,adm1.pop,2030595
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Number of internally displaced people,idp,0
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Fatalities from conflict,fatal,2
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Civilian fatalities from conflict,fatal_civil,0
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Highest number of fatalities from a single event,max_fatal,2
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Events with violence against civilians,events_civil,0
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Battles,events_battle,1
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Events involving military,events_military,0
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Events involving islamists,events_islamic,1
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Rolling sum of fatalities going back 1 year,fatal_rolling,24
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Violent events per area of administrativ region,conflict_intensity,2.9014243271204102e-5
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Population in food insecurity phases 3-5,pop_phase35,20179
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Prevalence of underweight in children,underweight_children,0.163
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Mortality rate among children under 5,mortality_children,147.7
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,Gini coefficient in income,gini_income,0.1
Burkina Faso,BFA,Boucle du Mouhoun,BF46,2019,3,3 month mean of the vegetation health index,vegetation_health,0.6819999999999999
Burkina Faso,BFA,Cascades,BF47,2019,3,Area,adm1.area,18285.237945509438
Burkina Faso,BFA,Cascades,BF47,2019,3,Population,adm1.pop,851276
Burkina Faso,BFA,Cascades,BF47,2019,3,Number of internally displaced people,idp,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Fatalities from conflict,fatal,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Civilian fatalities from conflict,fatal_civil,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Highest number of fatalities from a single event,max_fatal,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Events with violence against civilians,events_civil,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Battles,events_battle,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Events involving military,events_military,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Events involving islamists,events_islamic,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Rolling sum of fatalities going back 1 year,fatal_rolling,3
Burkina Faso,BFA,Cascades,BF47,2019,3,Violent events per area of administrativ region,conflict_intensity,0
Burkina Faso,BFA,Cascades,BF47,2019,3,Population in food insecurity phases 3-5,pop_phase35,8469
Burkina Faso,BFA,Cascades,BF47,2019,3,Prevalence of underweight in children,underweight_children,0.122
Burkina Faso,BFA,Cascades,BF47,2019,3,Mortality rate among children under 5,mortality_children,182.2
Burkina Faso,BFA,Cascades,BF47,2019,3,Gini coefficient in income,gini_income,0.33
Burkina Faso,BFA,Cascades,BF47,2019,3,3 month mean of the vegetation health index,vegetation_health,0.6747777777777778
Burkina Faso,BFA,Centre,BF13,2019,3,Area,adm1.area,2987.7323193384887
Burkina Faso,BFA,Centre,BF13,2019,3,Population,adm1.pop,2966307
Burkina Faso,BFA,Centre,BF13,2019,3,Number of internally displaced people,idp,431
Burkina Faso,BFA,Centre,BF13,2019,3,Fatalities from conflict,fatal,2
Burkina Faso,BFA,Centre,BF13,2019,3,Civilian fatalities from conflict,fatal_civil,0
Burkina Faso,BFA,Centre,BF13,2019,3,Highest number of fatalities from a single event,max_fatal,2
Burkina Faso,BFA,Centre,BF13,2019,3,Events with violence against civilians,events_civil,0
Burkina Faso,BFA,Centre,BF13,2019,3,Battles,events_battle,0
Burkina Faso,BFA,Centre,BF13,2019,3,Events involving military,events_military,0
Burkina Faso,BFA,Centre,BF13,2019,3,Events involving islamists,events_islamic,0
Burkina Faso,BFA,Centre,BF13,2019,3,Rolling sum of fatalities going back 1 year,fatal_rolling,9
Burkina Faso,BFA,Centre,BF13,2019,3,Violent events per area of administrativ region,conflict_intensity,0
Burkina Faso,BFA,Centre,BF13,2019,3,Population in food insecurity phases 3-5,pop_phase35,59020
Burkina Faso,BFA,Centre,BF13,2019,3,Prevalence of underweight in children,underweight_children,0.09300000000000001
Burkina Faso,BFA,Centre,BF13,2019,3,Mortality rate among children under 5,mortality_children,98.6
Burkina Faso,BFA,Centre,BF13,2019,3,Gini coefficient in income,gini_income,0.3
Burkina Faso,BFA,Centre,BF13,2019,3,3 month mean of the vegetation health index,vegetation_health,0.652888888888889
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Area,adm1.area,14492.317219192317
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Population,adm1.pop,1655846
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Number of internally displaced people,idp,0
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Fatalities from conflict,fatal,8
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Civilian fatalities from conflict,fatal_civil,1
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Highest number of fatalities from a single event,max_fatal,4
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Events with violence against civilians,events_civil,1
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Battles,events_battle,1
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Events involving military,events_military,0
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Events involving islamists,events_islamic,2
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Rolling sum of fatalities going back 1 year,fatal_rolling,14
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Violent events per area of administrativ region,conflict_intensity,1.380041555639826e-4
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Population in food insecurity phases 3-5,pop_phase35,4783
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Prevalence of underweight in children,underweight_children,0.17300000000000001
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Mortality rate among children under 5,mortality_children,95.3
Burkina Faso,BFA,Centre-Est,BF48,2019,3,Gini coefficient in income,gini_income,0.35
Burkina Faso,BFA,Centre-Est,BF48,2019,3,3 month mean of the vegetation health index,vegetation_health,0.6128888888888889
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Area,adm1.area,19740.45620422467
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Population,adm1.pop,1736152
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Number of internally displaced people,idp,30438
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Fatalities from conflict,fatal,4
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Civilian fatalities from conflict,fatal_civil,1
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Highest number of fatalities from a single event,max_fatal,2
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Events with violence against civilians,events_civil,4
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Battles,events_battle,4
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Events involving military,events_military,0
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Events involving islamists,events_islamic,8
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Rolling sum of fatalities going back 1 year,fatal_rolling,136
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Violent events per area of administrativ region,conflict_intensity,4.05259124573216e-4
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Population in food insecurity phases 3-5,pop_phase35,51584
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Prevalence of underweight in children,underweight_children,0.187
Burkina Faso,BFA,Centre-Nord,BF49,2019,3,Mortality rate among children under 5,mortality_children,129.4
